opening_name,opening_variation,count
Queen's Pawn Game,~,2528789
Modern Defense,~,2398596
Scandinavian Defense, Mieses-Kotroc Variation,2086035
Caro-Kann Defense,~,2057570
Van't Kruijs Opening,~,1738266
Philidor Defense,~,1699054
Queen's Pawn Game, Mason Variation,1585523
Horwitz Defense,~,1389834
Pirc Defense,~,1382788
Scandinavian Defense,~,1316912
French Defense, Knight Variation,1306440
Owen Defense,~,1129732
Indian Defense,~,1007877
Scotch Game,~,971038
Hungarian Opening,~,902430
Queen's Pawn Game, Chigorin Variation,874756
Sicilian Defense, Old Sicilian,860056
Sicilian Defense, Bowdler Attack,841342
Bishop's Opening,~,825292
Benoni Defense, Old Benoni,750489
King's Pawn Game, Leonardis Variation,714695
Queen's Pawn Game, Zukertort Variation,699398
Sicilian Defense,~,690106
Englund Gambit,~,678634
Zukertort Opening, Tennison Gambit,606709
Mieses Opening,~,604406
Three Knights Opening,~,584674
Four Knights Game, Italian Variation,566448
English Defense,~,549625
Sicilian Defense, Closed,531265
Scandinavian Defense, Modern Variation,507213
Sicilian Defense, Smith-Morra Gambit,497327
Italian Game, Anti-Fried Liver Defense,496383
Italian Game,~,494223
French Defense, Normal Variation,467430
Queen's Gambit Declined, Marshall Defense,466531
King's Pawn Game, Wayward Queen Attack,461771
Queen's Gambit Declined,~,449401
French Defense,~,447019
French Defense, Exchange Variation,446895
Bird Opening,~,440603
Scandinavian Defense, Main Line,434302
Caro-Kann Defense, Exchange Variation,433809
Sicilian Defense, Modern Variations,426876
Nimzo-Larsen Attack, Modern Variation,425434
Sicilian Defense, Alapin Variation,415027
Sicilian Defense, McDonnell Attack,404377
Nimzo-Larsen Attack, Classical Variation,403975
French Defense, Advance Variation,402920
Nimzo-Larsen Attack,~,396124
Queen's Pawn Game, Colle System,384728
King's Pawn Game, Busch-Gass Gambit,383077
Slav Defense,~,381704
Vienna Game,~,380819
Ruy Lopez, Steinitz Defense,376929
Giuoco Piano,~,355293
Russian Game, Three Knights Game,353371
Queen's Pawn Game, London System,353352
Bishop's Opening, Berlin Defense,332834
Sicilian Defense, French Variation,317545
Saragossa Opening,~,316734
French Defense, Queen's Knight,315608
Russian Game, Italian Variation,311743
Caro-Kann Defense, Hillbilly Attack,307525
Sicilian Defense, Open,300350
Caro-Kann Defense, Advance Variation,299655
King's Pawn Game, McConnell Defense,296219
King's Pawn Game, Napoleon Attack,283669
Philidor Defense, Exchange Variation,276217
Russian Game,~,274729
English Opening, King's English Variation,272559
Englund Gambit Declined, Reversed French,266358
Bird Opening, Dutch Variation,261403
Polish Opening,~,258195
Van Geet Opening,~,257092
Sicilian Defense," Closed, Traditional",257084
English Opening, Agincourt Defense,252310
Center Game,~,251503
Italian Game," Giuoco Pianissimo, Normal",245459
King's Gambit Declined, Queen's Knight Defense,239531
Italian Game," Two Knights Defense, Modern Bishop's Opening",237815
Alekhine Defense,~,234679
Rapport-Jobava System,~,231390
Queen's Gambit Accepted,~,230558
Pirc Defense, Classical Variation,225632
French Defense, La Bourdonnais Variation,224672
Vienna Game, Max Lange Defense,217908
French Defense, King's Indian Attack,217313
Italian Game," Giuoco Pianissimo, Italian Four Knights Variation",216757
Sicilian Defense, Nyezhmetdinov-Rossolimo Attack,213112
English Opening, Anglo-Scandinavian Defense,212159
Zukertort Opening,~,211618
Ruy Lopez, Berlin Defense,207992
Bishop's Opening, Boi Variation,207981
Dutch Defense,~,207898
Nimzowitsch Defense," Kennedy Variation, Linksspringer Variation",205071
King's Knight Opening, Normal Variation,204948
Old Indian Defense,~,202765
Rat Defense, Small Center Defense,199144
Caro-Kann Defense, Two Knights Attack,196927
Caro-Kann Defense," Advance Variation, Botvinnik-Carls Defense",196792
King's Indian Attack,~,195702
Elephant Gambit,~,195369
Zukertort Opening, Queen's Gambit Invitation,194008
Grob Opening,~,192751
Vienna Game, Vienna Gambit,191412
Caro-Kann Defense," Advance Variation, Short Variation",183673
Center Game, Normal Variation,182555
Englund Gambit Complex, Englund Gambit,182283
English Opening,~,181928
Danish Gambit,~,180986
English Opening," King's English Variation, Reversed Sicilian",180924
Queen's Pawn Game, Levitsky Attack,180066
Queen's Gambit Accepted, Old Variation,179414
King's Gambit,~,177116
Englund Gambit Complex, Hartlaub-Charlick Gambit,176490
Zukertort Opening, Sicilian Invitation,176360
Queen's Pawn Game, Symmetrical Variation,175195
Ponziani Opening,~,173075
Nimzowitsch Defense,~,171030
Russian Game, Stafford Gambit,170680
Italian Game, Giuoco Pianissimo,165968
Mikenas Defense,~,165624
St. George Defense,~,165603
Ruy Lopez, Classical Variation,165360
Queen's Gambit Declined, Queen's Knight Variation,164949
Nimzo-Larsen Attack, Indian Variation,164648
Four Knights Game, Scotch Variation Accepted,164100
King's Gambit Accepted, MacLeod Defense,162205
Italian Game, Schilling-Kostic Gambit,161214
Ponziani Opening, Jaenisch Counterattack,160216
King's Pawn Game,~,160058
Benoni Defense, Benoni Gambit Accepted,159805
Caro-Kann Defense, Breyer Variation,156125
Sicilian Defense, Löwenthal Variation,155269
Four Knights Game,~,151839
King's Pawn Game, Maróczy Defense,151767
King's Pawn Game, Damiano Defense,151245
Italian Game, Two Knights Defense,151221
Zukertort Opening, Kingside Fianchetto,150919
English Opening, Symmetrical Variation,148605
Sicilian Defense, Delayed Alapin,148148
French Defense," Advance Variation, Paulsen Attack",147752
French Defense," Advance Variation, Nimzowitsch System",146733
King's Pawn Game, Macleod Attack,145872
Italian Game, Classical Variation,145249
Slav Defense, Exchange Variation,142449
Hungarian Opening, Slav Formation,142250
Scotch Game, Classical Variation,142223
English Opening, Great Snake Variation,141964
Sicilian Defense, Taimanov Variation,141858
King's Knight Opening,~,141012
Scandinavian Defense, Gubinsky-Melts Defense,137790
English Opening, Caro-Kann Defensive System,136874
Zukertort Opening, Slav Invitation,136838
Alekhine Defense, Scandinavian Variation,135660
French Defense, Two Knights Variation,135453
Italian Game," Classical Variation, Giuoco Pianissimo",134762
Semi-Slav Defense, Accelerated Move Order,131463
Englund Gambit Complex Declined,~,130778
Zukertort Opening, Pirc Invitation,130758
Queen's Gambit Declined, Chigorin Defense,130363
Vienna Game, Anderssen Defense,129278
Semi-Slav Defense,~,125313
King's Pawn,~,124214
Hungarian Opening, Catalan Formation,124117
Zukertort Opening, Black Mustang Defense,123660
Sicilian Defense, Delayed Alapin Variation,123555
Sicilian Defense, Najdorf Variation,122531
Queen's Gambit Declined, Baltic Defense,121594
Slav Defense, Three Knights Variation,119780
Slav Defense, Modern Line,118736
Mieses Opening, Reversed Rat,116401
Queen's Pawn Game, Krause Variation,116030
Queen's Pawn Game, Franco-Sicilian Defense,112663
Queen's Gambit Declined, Normal Defense,112617
Bishop's Opening, Vienna Hybrid,112244
Nimzowitsch Defense," Scandinavian Variation, Advance Variation",111395
Indian Defense, Wade-Tartakower Defense,110609
