count,whiteWins,blackWins,draw,opening_name,opening_variation
2528789,1275346,1152202,101241,Queen's Pawn Game,~
2398596,1163640,1146712,88244,Modern Defense,~
2086035,1045895,955491,84649,Scandinavian Defense, Mieses-Kotroc Variation
2057570,969658,1008765,79147,Caro-Kann Defense,~
1738266,832948,845655,59663,Van't Kruijs Opening,~
1699054,858787,770110,70157,Philidor Defense,~
1585523,821358,698412,65753,Queen's Pawn Game, Mason Variation
1389834,713948,624624,51262,Horwitz Defense,~
1382788,675493,655779,51516,Pirc Defense,~
1316912,630944,637498,48470,Scandinavian Defense,~
1306440,626128,629211,51101,French Defense, Knight Variation
1129732,561929,529120,38683,Owen Defense,~
1007877,493770,472125,41982,Indian Defense,~
971038,519561,411749,39728,Scotch Game,~
902430,455064,413446,33920,Hungarian Opening,~
874756,445961,393116,35679,Queen's Pawn Game, Chigorin Variation
860056,413932,413771,32353,Sicilian Defense, Old Sicilian
841342,389133,423426,28783,Sicilian Defense, Bowdler Attack
825292,429006,366501,29785,Bishop's Opening,~
750489,359838,363617,27034,Benoni Defense, Old Benoni
714695,345769,340302,28624,King's Pawn Game, Leonardis Variation
699398,359738,308989,30671,Queen's Pawn Game, Zukertort Variation
690106,324451,340387,25268,Sicilian Defense,~
678634,335128,320880,22626,Englund Gambit,~
606709,290678,296896,19135,Zukertort Opening, Tennison Gambit
604406,293654,288912,21840,Mieses Opening,~
584674,289545,271420,23709,Three Knights Opening,~
566448,272716,270824,22908,Four Knights Game, Italian Variation
549625,273412,257118,19095,English Defense,~
531265,262774,247612,20879,Sicilian Defense, Closed
507213,240627,245606,20980,Scandinavian Defense, Modern Variation
497327,244672,235819,16836,Sicilian Defense, Smith-Morra Gambit
496383,255071,221419,19893,Italian Game, Anti-Fried Liver Defense
494223,260569,215553,18101,Italian Game,~
467430,238006,213238,16186,French Defense, Normal Variation
466531,248243,201530,16758,Queen's Gambit Declined, Marshall Defense
461771,238083,205012,18676,King's Pawn Game, Wayward Queen Attack
449401,229018,200704,19679,Queen's Gambit Declined,~
447019,198867,232287,15865,French Defense,~
446895,211556,213176,22163,French Defense, Exchange Variation
440603,220306,203959,16338,Bird Opening,~
434302,205480,212330,16492,Scandinavian Defense, Main Line
433809,204736,208904,20169,Caro-Kann Defense, Exchange Variation
426876,202175,207976,16725,Sicilian Defense, Modern Variations
425434,213918,196134,15382,Nimzo-Larsen Attack, Modern Variation
415027,207129,191622,16276,Sicilian Defense, Alapin Variation
404377,194674,196505,13198,Sicilian Defense, McDonnell Attack
403975,202865,185949,15161,Nimzo-Larsen Attack, Classical Variation
402920,192700,195562,14658,French Defense, Advance Variation
396124,203934,177942,14248,Nimzo-Larsen Attack,~
384728,194530,173751,16447,Queen's Pawn Game, Colle System
383077,197573,173329,12175,King's Pawn Game, Busch-Gass Gambit
381704,194404,171295,16005,Slav Defense,~
380819,197002,169844,13973,Vienna Game,~
376929,192747,166703,17479,Ruy Lopez, Steinitz Defense
355293,165684,174930,14679,Giuoco Piano,~
353371,177920,161766,13685,Russian Game, Three Knights Game
353352,179630,156523,17199,Queen's Pawn Game, London System
332834,165607,154524,12703,Bishop's Opening, Berlin Defense
317545,148927,157344,11274,Sicilian Defense, French Variation
316734,155357,149109,12268,Saragossa Opening,~
315608,152462,151419,11727,French Defense, Queen's Knight
311743,159362,142380,10001,Russian Game, Italian Variation
307525,135014,161827,10684,Caro-Kann Defense, Hillbilly Attack
300350,151908,136801,11641,Sicilian Defense, Open
299655,146613,141282,11760,Caro-Kann Defense, Advance Variation
296219,149758,136185,10276,King's Pawn Game, McConnell Defense
283669,142464,130831,10374,King's Pawn Game, Napoleon Attack
276217,140285,124041,11891,Philidor Defense, Exchange Variation
274729,135065,129055,10609,Russian Game,~
272559,138768,122592,11199,English Opening, King's English Variation
266358,133115,123727,9516,Englund Gambit Declined, Reversed French
261403,131082,120037,10284,Bird Opening, Dutch Variation
258195,136538,112300,9357,Polish Opening,~
