opening_name,count,whiteWins,blackWins,draw
Sicilian Defense,9487601,4568623,4546851,372127
Queen's Pawn Game,7906789,4018117,3560646,328026
French Defense,5613896,2704136,2689052,220708
Scandinavian Defense,5019647,2444073,2379180,196394
Caro-Kann Defense,4799981,2292282,2312267,195432
Italian Game,3634239,1856023,1644753,133463
King's Pawn Game,3226313,1602806,1498747,124760
Modern Defense,2964621,1446260,1408111,110250
English Opening,2858767,1453483,1282856,122428
Queen's Gambit Declined,2667045,1381149,1174244,111652
Zukertort Opening,2394247,1191818,1110580,91849
Philidor Defense,2206288,1115383,999856,91049
Ruy Lopez,1914708,971196,854706,88806
Indian Defense,1902817,930661,889884,82272
Scotch Game,1811723,953722,785759,72242
Pirc Defense,1805136,883879,851944,69313
Van't Kruijs Opening,1738352,832992,845695,59665
Bishop's Opening,1713379,886239,764428,62712
Nimzo-Larsen Attack,1574769,793952,722361,58456
Hungarian Opening,1550891,780161,710441,60289
Russian Game,1419748,715136,650783,53829
Horwitz Defense,1391155,714627,625217,51311
Vienna Game,1332921,690572,595071,47278
Four Knights Game,1331037,654365,619131,57541
Benoni Defense,1214724,585319,585539,43866
Owen Defense,1177259,585201,552021,40037
Nimzowitsch Defense,1027380,515301,474853,37226
Slav Defense,983156,500764,437954,44438
Alekhine Defense,907764,440475,431950,35339
Bird Opening,864394,428468,404103,31823
Queen's Gambit Accepted,774151,418694,324910,30547
King's Indian Defense,756570,369491,353094,33985
Mieses Opening,720896,349545,345420,25931
Englund Gambit,678634,335128,320880,22626
King's Gambit Accepted,676299,354944,300954,20401
Center Game,641221,324789,293581,22851
Three Knights Opening,619637,306541,288126,24970
English Defense,550856,274004,257733,19119
Englund Gambit Complex,497856,241646,239282,16928
Dutch Defense,478581,236988,222229,19364
King's Gambit Declined,459394,230176,215199,14019
Semi-Slav Defense,413299,211055,182162,20082
Rat Defense,412179,206442,190849,14888
Van Geet Opening,404305,199603,189174,15528
Englund Gambit Declined,404170,200954,189530,13686
Polish Opening,402420,208459,178756,15205
Ponziani Opening,389640,196125,179419,14096
King's Knight Opening,378061,193938,168698,15425
King's Indian Attack,372025,191755,161891,18379
Giuoco Piano,355293,165684,174930,14679
Saragossa Opening,316734,155357,149109,12268
Grob Opening,305023,150192,144138,10693
Elephant Gambit,289081,138960,140177,9944
Old Indian Defense,272467,134340,127709,10418
Blackmar-Diemer Gambit,268189,135993,123166,9030
Nimzo-Indian Defense,245849,121180,112808,11861
Rapport-Jobava System,231390,121139,100971,9280
Mikenas Defense,181388,93215,81233,6940
Danish Gambit,180986,97066,78204,5716
St. George Defense,180523,90070,83705,6748
King's Gambit,177228,96162,75517,5549
Trompowsky Attack,163765,80626,75729,7410
Grünfeld Defense,159657,75183,75413,9061
Englund Gambit Complex Declined,131768,63948,63855,3965
King's Pawn,124214,109495,11789,2930
Gedult's Opening,109769,49634,56143,3992
Duras Gambit,100043,51408,45683,2952
Kádas Opening,99079,42413,51939,4727
London System,97028,46686,46027,4315
Réti Opening,96831,51761,40996,4074
East Indian Defense,88834,41375,43259,4200
Torre Attack,85666,42138,39285,4243
Tarrasch Defense,84893,41449,39337,4107
Catalan Opening,83350,43143,34751,5456
Czech Defense,79741,39362,37187,3192
Anderssen's Opening,75926,36958,35848,3120
Danish Gambit Accepted,75766,43509,30164,2093
Queen's Indian Defense,75473,36911,33758,4804
Ware Opening,73499,33127,37109,3263
Latvian Gambit,69816,34492,33275,2049
Blackmar Gambit,68428,32318,33838,2272
Ware Defense,64816,35462,26872,2482
Clemenz Opening,60696,26893,30911,2892
Borg Defense,57756,30752,25136,1868
Queen's Gambit,55108,30969,22291,1848
Barnes Defense,54967,29807,23325,1835
Goldsmith Defense,54181,28831,23470,1880
Richter-Veresov Attack,46017,22207,21726,2084
Yusupov-Rubinstein System,45120,22538,20635,1947
Latvian Gambit Accepted,44294,21013,21971,1310
Carr Defense,44210,22684,19996,1530
Neo-Grünfeld Defense,44189,22135,19226,2828
King's Pawn Opening,41128,18635,20822,1671
Polish Defense,38587,19741,17428,1418
Pterodactyl Defense,36528,17586,17540,1402
Gunderam Defense,35977,18676,16027,1274
Portuguese Opening,34914,14751,18655,1508
Benko Gambit,32123,13996,16794,1333
Blackmar-Diemer Gambit Declined,31999,16307,14510,1182
Lion Defense,28729,13840,13680,1209
Amazon Attack,28255,12425,14668,1162
Benko Gambit Accepted,26789,12131,13072,1586
Bogo-Indian Defense,26086,12825,11520,1741
Slav Indian,25320,12729,11470,1121
Amar Opening,24636,10800,12690,1146
Canard Opening,24181,12044,11155,982
Mexican Defense,21314,10795,9683,836
Danish Gambit Declined,20794,9507,10413,874
Blumenfeld Countergambit,19872,9832,9118,922
Paleface Attack,19656,8932,9990,734
Lasker Simul Special,16035,7406,8003,626
Kangaroo Defense,15643,8228,6798,617
Queen's Indian Accelerated,15404,7598,7174,632
Guatemala Defense,12905,6716,5716,473
Center Game Accepted,12636,5145,7045,446
Barnes Opening,12569,5323,6798,448
Wade Defense,11271,5600,5071,600
Valencia Opening,10572,5375,4855,342
Rubinstein Opening,9328,4995,3928,405
Sodium Attack,9051,4024,4560,467
Creepy Crawly Formation,8487,4065,4067,355
Hippopotamus Defense,8452,4474,3678,300
Crab Opening,6675,2756,3671,248
Benko Gambit Declined,6259,2990,2974,295
Lemming Defense,6223,3681,2231,311
Global Opening,5683,2723,2760,200
Blackburne Shilling Gambit,5526,0,5526,0
Fried Fox Defense,5197,2712,2303,182
Semi-Slav Defense Accepted,4521,2199,2114,208
Robatsch Defense,4468,2110,2187,171
Irish Gambit,4447,1336,2971,140
Bongcloud Attack,3751,1279,2309,163
Montevideo Defense,3489,1804,1563,122
System,3484,1800,1473,211
Australian Defense,3047,1696,1206,145
Döry Defense,2428,1292,1057,79
"Blackmar-Diemer, Lemberger Countergambit",1862,1007,751,104
Bronstein Gambit,1516,745,722,49
English Orangutan,1343,581,718,44
Vulture Defense,1082,475,557,50
Zukertort Defense,924,581,308,35
Colle System,428,195,212,21
Blumenfeld Countergambit Accepted,415,198,195,22
Norwegian Defense,371,159,197,15
Marienbad System,355,159,174,22
Tayler Opening,315,154,151,10
English Rat,309,134,168,7
Borg Opening,303,182,112,9
Zaire Defense,282,161,111,10
Amsterdam Attack,187,106,74,7
"Queen's Pawn, Mengarini Attack",180,88,84,8
Venezolana Opening,105,57,43,5
Formation,82,39,39,4
Dresden Opening,46,8,36,2
Veresov Opening,37,14,23,0
Amar Gambit,13,7,6,0
